COSPAR_number;NORAD_number;country1;country2;country3;country4;country5
2019-089H;44859;USA;;;;
2023-001DC;55107;Sweden;UK;USA;Netherlands;
2017-036L;42775;Finland;;;;
2016-025E;41460;Denmark;;;;
2014-006A;39508;USA;;;;
2016-038A;41588;USA;;;;
2015-010A;40424;USA;;;;
2004-007A;28184;USA;;;;
1999-053A;25924;USA;;;;
2021-022F;47937;Israel;;;;
2021-022H;47939;Israel;;;;
2021-022M;47943;Israel;;;;
2023-054K;56187;USA;;;;
2020-095A;47237;USA;;;;
1998-029A;25336;USA;;;;
2003-041A;27937;USA;;;;
2009-001A;33490;USA;;;;
2010-063A;37232;USA;;;;
2012-034A;38528;USA;;;;
2016-036A;41584;USA;;;;
2013-050A;39256;USA;;;;
2018-079A;43651;USA;;;;
2019-051A;44481;USA;;;;
2020-022B;45465;USA;;;;
2012-019A;38254;USA;;;;
2012-048C;38760;USA;;;;
2018-066A;43600;France;UK;Germany;Spain;
2018-104N;43861;USA;;;;
2018-104A;43849;USA;;;;
2018-046C;43556;USA;;;;
2018-046D;43557;USA;;;;
2019-071D;45114;USA;;;;
2019-071F;45116;USA;;;;
2019-071G;45117;USA;;;;
2015-058B;40965;USA;;;;
2014-033AM;40045;USA;;;;
2014-033AN;40046;USA;;;;
2015-058C;40966;USA;;;;
2016-067F;41853;USA;;;;
2016-067E;41852;USA;;;;
2008-065B;33460;France;;;;
2021-034C;48270;USA;;;;
2021-006AD;47440;USA;;;;
2007-015A;31304;USA;;;;
2010-035C;36797;Canada;;;;
2014-037G;40075;Norway;Canada;;;
2018-099L;43768;Denmark;;;;
2019-018AB;44103;Denmark;;;;
2018-012A;43174;USA;;;;
2018-099AZ;43805;Kazakhstan;;;;
2017-078A;43039;China;;;;
2019-084A;44824;Japan;;;;
2022-033D;52160;Brazil;;;;
2013-072F;39467;USA;;;;
2016-059C;41785;UK;;;;
2016-059G;41789;UK;;;;
2010-035D;36798;France;UK;Germany;Spain;
2016-059D;41786;France;UK;Germany;Spain;
2009-054A;35942;France;UK;Germany;Spain;
2013-006A;39078;USA;;;;
2014-011A;39616;USA;;;;
2017-053A;42934;USA;;;;
2023-017A;55508;France;Italy;;;
2021-015A;47699;Brazil;;;;
2004-017A;28252;USA;;;;
2004-041A;28446;USA;;;;
2006-054B;29644;USA;;;;
2008-038B;33275;USA;;;;
2000-067A;26580;USA;;;;
2019-038J;44394;Russia;;;;
2019-050A;44479;USA;;;;
2008-022A;32794;Israel;;;;
2013-045A;39237;Israel;;;;
1974-089B;7530;USA;;;;
2020-048A;45920;France;UK;Germany;Spain;
2020-037D;45726;USA;;;;
2019-092D;44876;ESA;;;;
2022-131A;54033;Russia;;;;
2000-076A;26624;USA;;;;
2005-036A;28868;France;UK;Germany;Spain;
2004-027A;28378;USA;;;;
2007-009A;31102;France;UK;Germany;Spain;
2013-014A;39127;USA;;;;
2004-025G;28372;Argentina;;;;
2014-033K;40019;USA;;;;
2004-025A;28366;Argentina;;;;
2009-041F;35686;USA;;;;
2009-041D;35684;USA;;;;
2011-044E;37792;USA;;;;
2013-066A;39416;USA;;;;
2013-066K;39425;USA;;;;
2014-033J;40018;USA;;;;
2018-041A;43450;China;;;;
2020-045A;45863;China;;;;
2023-005A;55239;China;;;;
2012-013A;38107;France;Italy;;;
2015-059A;40982;China;;;;
2011-049B;37810;France;;;;
2019-021A;44186;USA;;;;
2021-006BZ;47484;USA;;;;
2021-006EG;47615;USA;;;;
2021-006EH;47616;USA;;;;
2022-033E;52161;Norway;;;;
2021-102J;49403;Japan;;;;
2021-016A;47719;Russia;;;;
2018-004V;43130;USA;;;;
2014-062B;40272;Argentina;;;;
2015-054B;40941;Argentina;;;;
2021-059CC;48953;Belgium;;;;
2021-006AE;47441;Turkey;;;;
2009-042A;35696;USA;;;;
2014-052A;40141;USA;;;;
2011-069A;37933;USA;;;;
2014-046A;40107;USA;;;;
2017-057A;42942;USA;;;;
2000-016A;26107;France;;;;
2014-070A;40298;Japan;;;;
2018-007A;43152;Japan;;;;
2021-102C;49397;Japan;;;;
1997-076A;25071;USA;;;;
2006-012A;29055;USA;;;;
2007-016A;31306;USA;;;;
2008-057A;33436;France;;;;
2011-041A;37775;France;;;;
1998-050A;25462;USA;;;;
2001-025A;26853;USA;;;;
2000-081A;26638;USA;;;;
2013-056A;39285;France;;;;
2012-051A;38778;France;UK;Germany;;
2014-089A;40364;Germany;France;;;
2002-015B;27400;USA;;;;
2010-021A;36581;France;UK;Germany;Spain;
2014-011B;39617;France;;;;
2018-004S;43127;USA;;;;
2021-006T;47430;Switzerland;;;;
2021-006CD;47488;Switzerland;;;;
2021-006CC;47487;Switzerland;;;;
2021-006DK;47519;Switzerland;;;;
2021-006DH;47517;Switzerland;;;;
2021-059CD;48954;Swizerland;;;;
2021-059CL;48961;Switzerland;;;;
2021-059CE;48955;Switzerland;;;;
2021-059CB;48952;Switzerland;;;;
2021-059CK;48960;Switzerland;;;;
2015-052A;40930;India;;;;
2019-034A;44333;France;;;;
2020-061D;46275;USA;;;;
2014-006B;39509;France;;;;
2015-077C;41168;Singapore;;;;
2013-006B;39079;USA;;;;
2018-074A;43632;USA;;;;
2006-051A;29526;France;UK;Germany;Spain;
2010-025A;36592;France;UK;Germany;Spain;
2010-032B;36745;France;UK;Germany;Spain;
2008-034B;33154;France;UK;Germany;Spain;
2015-065B;41029;France;UK;Germany;Spain;
2018-044A;43463;France;Belgium;Spain;Italy;
2021-117C;49814;China;;;;
2015-009A;40420;Russia;;;;
2016-020A;41394;Russia;;;;
2022-054A;52713;Russia;;;;
2023-040A;55978;Russia;;;;
2023-050J;56171;USA;;;;
2023-050K;56170;USA;;;;
2022-033U;52175;Czech Republic;;;;
2023-001CT;55098;Czech Republic;;;;
2021-022AM;48083;Germany;;;;
2021-022AB;47957;Germany;;;;
2021-022AN;48084;Germany;;;;
2021-022AP;48085;Germany;;;;
2019-038AC;44412;Germany;;;;
2012-018A;38250;China;;;;
2012-018B;38251;China;;;;
2012-050B;38775;China;;;;
2012-059A;38953;China;;;;
2016-021A;41434;China;;;;
2016-037A;41586;China;;;;
2015-019A;40549;China;;;;
2015-053A;40938;China;;;;
2015-037A;40748;China;;;;
2015-037B;40749;China;;;;
2017-069A;43001;China;;;;
2019-061A;44542;China;;;;
2019-061B;44543;China;;;;
2017-069B;43002;China;;;;
2018-003A;43107;China;;;;
2018-003B;43108;China;;;;
2018-018A;43207;China;;;;
2018-018B;43208;China;;;;
2018-029A;43246;China;;;;
2018-029B;43245;China;;;;
2018-057A;43539;China;;;;
2018-062A;43581;China;;;;
2018-062B;43582;China;;;;
2018-067A;43602;China;;;;
2018-067B;43603;China;;;;
2018-072A;43622;China;;;;
2018-072B;43623;China;;;;
2018-078A;43647;China;;;;
2018-078B;43648;China;;;;
2018-085A;43683;China;;;;
2018-093A;43706;China;;;;
2018-093B;43707;China;;;;
2019-023A;44204;China;;;;
2019-027A;44231;China;;;;
2019-035A;44337;China;;;;
2019-073A;44709;China;;;;
2019-078A;44793;China;;;;
2019-078B;44794;China;;;;
2019-090A;44864;China;;;;
2019-090B;44865;China;;;;
2020-040A;45807;China;;;;
2020-017A;45344;China;;;;
2010-057A;37210;China;;;;
2012-008A;38091;China;;;;
2010-036A;36828;China;;;;
2010-068A;37256;China;;;;
2011-013A;37384;China;;;;
2011-038A;37763;China;;;;
2011-073A;37948;China;;;;
2021-050A;48840;China;;;;
2005-043A;28890;China;UK;;;
2023-007K;55257;China;;;;
2016-001A;41238;China;France;;;
2001-049C;26959;Germany;;;;
2023-001G;55015;Norway;Netherlands;;;
2016-040F;41604;Germany;;;;
2015-058E;40968;USA;;;;
2012-039B;38708;Russia;;;;
2018-096M;43730;USA;;;;
2021-106A;49469;USA;;;;
2021-106B;49470;USA;;;;
2021-120B;49950;USA;;;;
2021-120A;49949;USA;;;;
2022-034B;52196;USA;;;;
2023-041B;55982;USA;;;;
2018-099BG;43812;USA;;;;
2022-034C;52197;USA;;;;
2019-037C;44367;USA;;;;
2019-054E;44499;USA;;;;
2023-041C;55983;USA;;;;
2020-055BP;46088;USA;;;;
2020-055BQ;46089;USA;;;;
2021-023G;47971;USA;;;;
2016-059E;41787;USA;;;;
2017-046A;42907;Russia;;;;
2018-037A;43432;Russia;;;;
2018-107A;43867;Russia;;;;
2019-048A;44457;Russia;;;;
2019-018AD;44105;Lithuania;;;;
2022-111AL;53808;USA;;;;
2000-046A;26469;USA;;;;
2021-058F;48876;Netherlands;;;;
2018-099BH;43813;USA;;;;
2016-039A;41591;USA;;;;
2014-033L;40020;Canada;;;;
2014-049B;40119;Poland;;;;
2019-054A;44495;Denmark;;;;
2020-085N;46941;Denmark;;;;
2020-085Q;46943;Denmark;;;;
2021-073A;49066;Denmark;;;;
2022-047AE;52422;Denmark;;;;
2022-033T;52174;France;;;;
2023-001C;55011;Denmark;;;;
2023-054H;56185;Denmark;;;;
2023-054B;56179;UK;;;;
2007-036B;32019;USA;;;;
2010-056B;37207;USA;;;;
2011-041B;37776;USA;;;;
2017-059B;42951;USA;;;;
2020-056A;46112;USA;;;;
2017-073B;43014;Australia;;;;
2019-032C;44312;China;;;;
2019-032E;44314;China;;;;
2014-033E;40014;Argentina;;;;
2017-038A;42801;USA;;;;
2021-002M;47320;USA;;;;
2006-016B;29108;France;;;;
2008-021H;32790;Canada;;;;
2014-034C;40055;Canada;;;;
2014-034D;40056;Canada;;;;
2016-059F;41788;Canada;;;;
2021-002A;47309;USA;;;;
2023-035C;55910;USA;;;;
2021-041BE;48605;USA;;;;
2022-002CS;51072;USA;;;;
2022-002CR;51071;USA;;;;
2023-035B;55909;USA;;;;
2005-017A;28649;India;;;;
2007-001B;29710;India;;;;
2008-021A;32783;India;;;;
2010-035A;36795;India;;;;
2016-040A;41599;India;;;;
2017-008A;41948;India;;;;
2017-036C;42767;India;;;;
2018-004A;43111;India;;;;
2019-081A;44804;India;;;;
2021-022A;47932;South Korea;;;;
2013-055A;39265;Canada;;;;
2018-036A;43339;USA;;;;
2023-008A;55263;USA;;;;
2014-079A;40336;China;;;;
2019-093E;44883;China;;;;
2015-032D;40718;UK;;;;
2018-004E;43115;UK;;;;
2017-036E;42769;Japan;;;;
2020-077F;46818;Japan;;;;
2016-067C;41850;USA;;;;
2018-099BD;43809;USA;;;;
2018-096D;43722;USA;;;;
2018-075A;43636;China;;;;
2018-104E;43853;USA;;;;
2021-105A;49464;UK;;;;
2021-105B;49465;UK;;;;
2021-105C;49466;UK;;;;
2021-088B;49261;USA;;;;
2021-088C;49262;USA;;;;
2018-083A;43662;China;France;;;
2021-022AA;47956;Tunisia;;;;
1999-040B;25867;USA;;;;
2018-083H;43669;China;;;;
2016-081B;41899;China;;;;
2022-019V;51843;China;;;;
2021-091A;49315;China;;;;
2023-050G;56168;USA;;;;
2023-050H;56167;USA;;;;
2023-050F;56169;USA;;;;
2023-050C;56164;USA;;;;
2023-050B;56163;USA;;;;
2023-050D;56165;USA;;;;
2023-050E;56166;USA;;;;
2023-050A;56162;USA;;;;
2019-092B;44874;ESA;EADS CASA Espacio;;;
2023-001CK;55090;Argentina;;;;
2018-104G;43855;USA;;;;
2003-049B;28058;China;;;;
2008-056B;33434;China;;;;
2011-068A;37930;China;;;;
2014-051B;40137;China ;;;;
2022-102A;53586;China;;;;
2022-102B;53876;China;;;;
2013-037B;39209;China;;;;
2018-088A;43690;USA;;;;
2017-042Z;42848;USA;;;;
2022-057K;52741;USA;;;;
2022-057D;52735;USA;;;;
2017-042AA;42849;USA;;;;
2017-036AE;42793;USA;;;;
2018-004AJ;43143;USA;;;;
2018-096U;43737;USA;;;;
2008-063A;33453;France;;;;
2012-048G;38764;USA;;;;
2023-054L;56188;USA;;;;
2019-071L;45121;USA;;;;
2014-055A;40208;USA;;;;
2006-016A;29107;USA;;;;
2020-099A;47256;India;;;;
2021-058D;48875;USA;;;;
2021-058E;48874;USA;;;;
2017-036N;42777;Germany;;;;
2010-032A;36744;South Korea;;;;
2009-054B;35943;France;Italy;;;
2010-021B;36582;France;Italy;;;
2023-001D;55012;Turkey;;;;
2023-054AJ;56210;Turkey;;;;
2003-001A;27640;USA;;;;
2017-042X;42846;USA;;;;
2017-042Y;42847;USA;;;;
2018-004H;43118;USA;;;;
2018-099K;43767;USA;;;;
2020-085C;46931;USA;;;;
2019-036L;44349;UK;;;;
2019-036N;44351;UK;;;;
2019-036E;44343;UK;;;;
2019-036M;44350;UK;;;;
2019-036V;44358;UK;;;;
2019-036Q;44353;UK;;;;
2006-011A;29047;USA;;;;
2006-011B;29048;USA;;;;
2006-011D;29050;USA;;;;
2006-011E;29051;USA;;;;
2006-011F;29052;USA;;;;
2007-023A;31598;France;Italy;;;
2007-059A;32376;Italy;;;;
2008-054A;33412;Italy;;;;
2010-060A;37216;Italy;;;;
2022-008A;51444;Italy;;;;
2015-020D;40555;Russia;;;;
2019-039A;44421;Russia;;;;
2019-039D;44424;Russia;;;;
2019-079A;44797;Russia;;;;
2019-079D;44835;Russia;;;;
2023-045A;56091;Russia;;;;
2019-039B;44422;Russia;;;;
2019-039C;44423;Russia;;;;
2015-003E;40380;USA;;;;
2010-013A;36508;France;UK;Germany;Spain;
2019-092A;44873;Italy;;;;
2018-099AM;43793;USA;;;;
2018-106A;43866;France;;;;
2020-104A;47305;France;;;;
2013-066AA;39440;Argentina;;;;
