id_cl;semimajorAxis;perihelion;aphelion;eccentricity;inclination;density;gravity;escape;meanRadius;equaRadius;polarRadius;flattening;dimension;sideralOrbit;discoveryDate;orbitType;orbits;pTransit;transitVisibility;transitDepth;massJ;semimajorAxisAU
1;384400;363300;405500;0.0549;5145;3.344;1.62;2380;33;1738.1;1736;0.0012;;273217;;Secondary;Earth;181158949;3260861082;0.00000000225;0.0000387;0.002569555
2;9376;9234;9518;0.0151;1075;1.9;0.0057;11.39;33;13;9.1;0;26.8 x 22.4 x 18.4;0.31891;12/08/1877;Secondary;Mars;7427207765;1336897398;0.00000000225;0.00000000000558;0.0000627
3;23458;23456;23471;0.0152;1075;1.75;0.003;5.556;33;7.8;5.1;0;15.0 x 12 x 10.4;126244;12/08/1877;Secondary;Mars;2968603462;5343486231;0.00000000225;0.00000000000126;0.000157
4;421800;0;0;0.004;0.036;3.53;1.79;0;1821.5;0;0;0;;176914;07/01/1610;Secondary;Jupiter;1655200332;2979360597;0.00000684;0.000047;0.002819559
5;671100;0;0;0.009;0.466;3.01;1.31;0;1560.8;0;0;0;;355118;08/01/1610;Secondary;Jupiter;1039938608;1871889495;0.00000502;0.0000253;0.004486026
6;1070400;0;0;0.001;0.177;1.94;1.428;0;2631.2;0;0;0;;715455;11/01/1610;Secondary;Jupiter;0.653001868;1175403363;0.0000143;0.0000779;0.007155182
7;1882700;0;0;0.007;0.192;1.83;1.235;0;2410.3;0;0;0;;1668903;07/01/1610;Secondary;Jupiter;0.37114373;6680587135;0.0000120;0.0000568;0.012585072
8;181400;181150;182840;0.003;0.38;3.1;0.02;0;84;0;0;0;125 x 73 x 64;0.49818;09/09/1892;Secondary;Jupiter;3839173098;6910511577;0.0000000146;0.00000000395;0.001212584
9;11461000;9782900;13082000;0.162;27.5;1;0.062;0;85;0;0;0;;2505662;3/12/1904;Secondary;Jupiter;0.060764942;1093768956;0.0000000149;0.000000005;0.076612053
10;11741000;0;0;0.217;26.63;1;0.031;0;40;0;0;0;;2596528;2/01/1905;Secondary;Jupiter;0.059311984;1067615706;0.00000000330;0.000000000421;0.078483737
11;23624000;0;0;0.409;151.4;1;0.022;0;18;0;0;0;;743.6;27/01/1908;Secondary;Jupiter;0.029476803;5305824585;0.000000000668;0.000000000158;0.157916686
12;23939000;0;0;0.25;158.1;1;0.014;0;14;0;0;0;;758.9;21/07/1914;Secondary;Jupiter;0.029088767;5235978111;0.000000000404;0.0000000000421;0.160022331
13;11717000;0;0;0.112;28.3;1;0.013;0;12;0;0;0;;259.22;6/07/1938;Secondary;Jupiter;0.059431083;1069759495;0.000000000297;0.0000000000421;0.078323307
14;23404000;0;0;0.253;164.9;1;0.017;0;15;0;0;0;;734.2;30/07/1938;Secondary;Jupiter;0.02975376;5355676807;0.000000000464;0.0000000000526;0.156446077
15;21276000;0;0;0.244;148.9;1;0.01;0;10;0;0;0;;629.8;28/09/1951;Secondary;Jupiter;0.03272946;5891302876;0.000000000206;0.0000000000211;0.142221276
16;11165000;0;0;0.164;27.46;1;0.0073;0;5;0;0;0;;240.92;11/09/1974;Secondary;Jupiter;0.062368742;1122637349;0.0000000000516;0.000000000316;0.074633415
17;221900;218000;226000;0.018;1.08;1;0.02;0;49;0;0;0;58 x 49 x 42;0.6745;5/03/1979;Secondary;Jupiter;313831005;5648958089;0.00000000495;0.000000000421;0.00148331
18;129000;0;0;0.002;0.054;1;0.002;0;8;0;0;0;10 x 8 x 7;0.29826;8/07/1979;Secondary;Jupiter;5398062016;9716511628;0.000000000132;0.00000000000105;0.000862
19;128000;127974;128026;0.001;0.019;1;0.005;0;22;0;0;0;30 x 20 x 17;0.29478;4/03/1979;Secondary;Jupiter;544034375;979261875;0.000000000998;0.0000000000526;0.000856
20;24102000;0;0;0.283;147.1;1;0.0031;0;4;0;0;0;;758.8;6/10/1999;Secondary;Jupiter;0.028891627;5200492905;0.0000000000330;0.000000000000458;0.161111919
21;7507000;5909000;8874300;0.242;43.08;1;0.0029;0;4;0;0;0;;130.02;30/09/1975;Secondary;Jupiter;0.092759558;1669672039;0.0000000000330;0.000000000000363;0.050181196
22;14146700;0;0;0.421;152.8;1;0;0;2.7;0;0;0;;752.8;23/11/2000;Secondary;Jupiter;0.049223119;8860161451;0.0000000000150;0.000000000000111;0.094564849
23;23363000;0;0;0.252;165.2;1;0;0;2.5;0;0;0;;732.2;23/11/2000;Secondary;Jupiter;0.02980544;5364979241;0.0000000000129;0.0000000000000842;0.156172009
24;23179000;0;0;0.251;165.2;1;0;0;1.9;0;0;0;;723.8;23/11/2000;Secondary;Jupiter;0.030042016;5407562966;0.00000000000744;0.0000000000000395;0.154942045
25;21104000;0;0;0.226;148.6;1;0;0;2.2;0;0;0;;623.3;23/11/2000;Secondary;Jupiter;0.03299584;5939251137;0.00000000000998;0.0000000000000632;0.141071527
26;23564000;0;0;0.245;165.2;1;0;0;2.6;0;0;0;;743;23/11/2000;Secondary;Jupiter;0.029551205;5319216941;0.0000000000139;0.0000000000001;0.157515611
27;21272000;0;0;0.216;149.4;1;0;0;2.6;0;0;0;;631.5;23/11/2000;Secondary;Jupiter;0.032735267;5892348063;0.0000000000139;0.0000000000001;0.142194537
28;23283000;0;0;0.266;164.9;1;0;0;1.6;0;0;0;;728.3;23/11/2000;Secondary;Jupiter;0.029907813;5383406262;0.00000000000528;0.0000000000000237;0.155637242
29;23231000;0;0;0.246;165.2;1;0;0;1.9;0;0;0;;725.5;23/11/2000;Secondary;Jupiter;0.029974771;539545874;0.00000000000744;0.0000000000000395;0.155289643
30;21148000;0;0;0.23;149;1;0;0;3.4;0;0;0;;625.3;23/11/2000;Secondary;Jupiter;0.032927246;5926904294;0.0000000000238;0.000000000000226;0.141365648
31;24033000;0;0;0.334;152.9;1;0.0015;0;2;0;0;0;;715.4;10/12/2001;Secondary;Jupiter;0.028974493;5215408813;0.00000000000825;0.0000000000000474;0.160650682
32;21192000;0;0;0.229;148.5;1;0.0015;0;2;0;0;0;;627.3;11/12/2001;Secondary;Jupiter;0.032858815;5914586636;0.00000000000825;0.0000000000000474;0.14165977
33;21300000;0;0;0.21;150.7;1;0.0015;0;2;0;0;0;;633.9;19/12/2001;Secondary;Jupiter;0.032692207;5884597183;0.00000000000825;0.0000000000000474;0.142381706
34;23315000;0;0;0.264;165.1;1;0.0012;0;1.5;0;0;0;;730.2;19/12/2001;Secondary;Jupiter;0.02986676;5376016727;0.00000000000464;0.0000000000000237;0.155851149
35;23148000;0;0;0.276;150.3;1;0.0012;0;1.5;0;0;0;;723.9;19/12/2001;Secondary;Jupiter;0.030082232;5414801711;0.00000000000464;0.0000000000000237;0.154734823
36;21038000;0;0;0.232;148.9;1;0.0012;0;1.5;0;0;0;;620.6;11/12/2001;Secondary;Jupiter;0.03309932;595787765;0.00000000000464;0.0000000000000237;0.140630344
37;19339000;0;0;0.144;145.8;1;0;0;1;0;0;0;;553.1;11/12/2001;Secondary;Jupiter;0.036007188;6481293759;0.00000000000206;0.00000000000000789;0.12927323
38;21164000;0;0;0.281;145.9;1;8.10E-04;0;1;0;0;0;;622.6;11/12/2001;Secondary;Jupiter;0.03290224;5922403137;0.00000000000206;0.00000000000000789;0.141472602
39;23790000;0;0;0.312;151;1;8.10E-04;0;1;0;0;0;;748.3;19/12/2001;Secondary;Jupiter;0.029270408;5268673392;0.00000000000206;0.00000000000000789;0.159026328
40;23302000;0;0;0.26;165;1;8.10E-04;0;1;0;0;0;;729.5;19/12/2001;Secondary;Jupiter;0.029883401;5379012102;0.00000000000206;0.00000000000000789;0.155764249
41;23090000;0;0;0.267;165.1;1;8.10E-04;0;1;0;0;0;;716.3;11/12/2001;Secondary;Jupiter;0.030157774;5428399307;0.00000000000206;0.00000000000000789;0.154347117
42;23566000;0;0;0.328;155.2;1;0;0;2;0;0;0;;739.6;1/01/2003;Secondary;Jupiter;0.029548672;5318760927;0.00000000000825;0.0000000000000237;0.15752898
