COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2019-089H;44859;Hera Systems;;;;
2023-001DC;55107;AAC Clyde Space;;;;
2017-036L;42775;Aalto University;;;;
2016-025E;41460;University of Aalborg;;;;
2014-006A;39508;Space Systems;Loral;;;
2016-038A;41588;Boeing Satellite Systems;;;;
2015-010A;40424;Boeing Satellite Systems;;;;
2004-007A;28184;Space Systems;Loral;;;
1999-053A;25924;Lockheed Martin;;;;
2021-022F;47937;Asher Space Research Institute at Technion;Israeli Aircraft Industries;;;
2021-022H;47939;Asher Space Research Institute at Technion;Israeli Aircraft Industries;;;
2021-022M;47943;Asher Space Research Institute at Technion;Israeli Aircraft Industries;;;
2023-054K;56187;Spire Global;;;;
2020-095A;47237;National Reconnaissance Laboratory (?);;;;
1998-029A;25336;TRW Space and Electronics;;;;
2003-041A;27937;TRW Space and Electronics;;;;
2009-001A;33490;National Reconnaissance Laboratory (?);;;;
2010-063A;37232;National Reconnaissance Laboratory (?);;;;
2012-034A;38528;National Reconnaissance Laboratory (?);;;;
2016-036A;41584;National Reconnaissance Laboratory (?);;;;
2013-050A;39256;Lockheed Martin Space Systems;;;;
2018-079A;43651;Lockheed Martin Space Systems;;;;
2019-051A;44481;Lockheed Martin Space Systems;;;;
2020-022B;45465;Lockheed Martin Space Systems;;;;
2012-019A;38254;Lockheed Martin Space Systems;;;;
2012-048C;38760;University of Southern California;;;;
2018-066A;43600;Airbus Defense and Space;;;;
2018-104N;43861;Aerospace Corporation;;;;
2018-104A;43849;Aerospace Corporation;;;;
2018-046C;43556;Aerospace Corporation;;;;
2018-046D;43557;Aerospace Corporation;;;;
2019-071D;45114;Aerospace Corporation;;;;
2019-071F;45116;Aerospace Corporation;;;;
2019-071G;45117;Aerospace Corporation;;;;
2015-058B;40965;Aerospace Corporation;;;;
2014-033AM;40045;Aerospace Corporation;;;;
2014-033AN;40046;Aerospace Corporation;;;;
2015-058C;40966;Aerospace Corporation;;;;
2016-067F;41853;Aerospace Corporation;;;;
2016-067E;41852;Aerospace Corporation;;;;
2008-065B;33460;EADS Astrium;;;;
2021-034C;48270;NanoAvionics;;;;
2021-006AD;47440;NanoAvionics;;;;
2007-015A;31304;Orbital Sciences Corp.;;;;
2010-035C;36797;Kongsberg Seatex AS;University of Toronto Institute for Aerospace Studies;;;
2014-037G;40075;Kongsberg Seatex AS;University of Toronto Institute for Aerospace Studies;;;
2018-099L;43768;GomSpace ApS;;;;
2019-018AB;44103;GomSpace ApS;;;;
2018-012A;43174;Orbital ATK;;;;
2018-099AZ;43805;Al-Farabi Kazakh National University;;;;
2017-078A;43039;China Academy of Space Technology (CAST);;;;
2019-084A;44824;Astro Live Experiences;;;;
2022-033D;52160;University of Brasilia;;;;
2013-072F;39467;US Air Force Institute of Technology;;;;
2016-059C;41785;Surrey Satellite Technology Ltd.;;;;
2016-059G;41789;Surrey Satellite Technology Ltd.;;;;
2010-035D;36798;EADS Astrium;;;;
2016-059D;41786;Airbus Defense and Space;;;;
2009-054A;35942;EADS Astrium;;;;
2013-006A;39078;Space Systems;Loral;;;
2014-011A;39616;Orbital Sciences Corp.;;;;
2017-053A;42934;Space Systems;Loral;;;
2023-017A;55508;Thales Alenia Space;;;;
2021-015A;47699;National Institute for Space Research (INPE);;;;
2004-017A;28252;Lockheed Martin;;;;
2004-041A;28446;Lockheed Martin;;;;
2006-054B;29644;Lockheed Martin Missiles & Space;;;;
2008-038B;33275;Orbital Sciences Corp.;;;;
2000-067A;26580;Lockheed Martin Commercial Space Systems;;;;
2019-038J;44394;Moscow State University;;;;
2019-050A;44479;Boeing Satellite Systems;;;;
2008-022A;32794;Israel Aircraft Industries (IAI);;;;
2013-045A;39237;Israel Aircraft Industries (IAI);;;;
1974-089B;7530;Amsat-NA;;;;
2020-048A;45920;Airbus Defense and Space;;;;
2020-037D;45726;Boston University;;;;
2019-092D;44876;CNES ;;;;
2022-131A;54033;ISS Reshetnev;;;;
2000-076A;26624;Boeing Satellite Systems;;;;
2005-036A;28868;EADS Astrium;;;;
