id_t;neo_id;name;absoluteMagnitude;estimateDiameterMin;estimatedDiameterMax;relativeVelocity;missDistance;isHazardous
253;2162117;162117 (1998 SD15);19.14;0.394961694;0.883161196;71745.40105;58143623.32;False
253;2349507;349507 (2008 QY);18.50;0.530340723;1.185877909;109949.7571;55801047.82;True
253;2455415;455415 (2003 GA);21.45;0.136318556;0.304817558;24865.5068;67206887.72;False
253;3132126;(2002 PB);20.63;0.198863453;0.4446722;78890.07681;30396444.12;False
253;3557844;(2011 DW);22.70;0.076657557;0.171411509;56036.51948;63118626.51;False
253;3656926;(2014 BT8);25.00;0.02658;0.059434687;47477.64983;42905214.18;False
253;3421513;(2008 OX1);21.50;0.133215567;0.297879063;57853.29535;27279081.27;True
253;3541504;(2010 OF101);19.75;0.298232505;0.666868155;46972.48679;69975931.31;False
253;3836942;(2018 YH);21.70;0.121494041;0.271668934;37424.54838;5657726.907;True
253;3892166;(2019 UP13);23.45;0.054269395;0.121350055;38524.86787;61661184.56;False
253;54245816;(2022 CM3);26.02;0.01661709;0.037156943;45125.61205;34223883.07;False
253;2627157;627157 (2008 OX1);21.50;0.133215567;0.297879063;57853.29574;27279080.74;True
253;54418652;(2024 AF);23.76;0.047049496;0.105205872;19121.33491;12444447.77;False
253;2162635;162635 (2000 SS164);16.71;1.209358264;2.704207287;12703.78857;69589432.44;False
253;3559741;(2011 EE41);24.30;0.036690614;0.082042707;67828.78588;71307953.84;False
253;54193347;(2021 RA4);24.32;0.036354232;0.081290534;45162.15576;40366842.87;False
253;54245582;(2022 CQ2);24.90;0.027832677;0.062235757;40238.01906;10675158.1;False
253;2277810;277810 (2006 FV35);21.72;0.120380177;0.269178258;31504.10093;43507908.96;False
253;2284422;284422 (2006 YD);17.36;0.896509666;2.004656557;99804.73902;55195295.79;False
253;2357439;357439 (2004 BL86);19.29;0.368599699;0.824213984;59133.77659;7266531.842;True
253;3639467;(2013 LC1);23.90;0.04411182;0.098637028;44783.19122;50409368.11;False
253;54110699;(2021 CZ2);22.45;0.086011194;0.192326877;100358.5948;68046448.92;False
253;2052387;52387 Huitzilopochtli (1993 OM7);17.77;0.742258153;1.659739687;57915.56642;60288917.26;False
253;3274691;(2005 FC);24.50;0.033462237;0.074823838;27818.61491;40002412.18;False
253;3365921;(2007 AM);21.82;0.114962176;0.257063241;83141.53711;48289866.12;False
253;3379718;(2007 NL1);21.22;0.151549664;0.33887535;36587.19309;61868384.33;False
253;2408980;408980 (2002 RB126);18.71;0.481454197;1.076564312;81627.97678;37769003.29;False
253;3092330;(2001 SY169);23.10;0.063760979;0.142573883;33610.0833;73666306.94;False
253;3401381;(2008 CG);22.00;0.105816886;0.23661375;43563.43589;19013001.22;False
253;3629117;(2013 ET);23.10;0.063760979;0.142573883;33607.4286;73660041.97;False
253;3730580;(2015 TY237);21.58;0.12839703;0.287104486;31033.08542;56159522.34;True
253;3767244;(2017 BL31);19.10;0.40230458;0.899580388;111555.3621;17509684.25;False
253;3837780;(2019 AP8);24.50;0.033462237;0.074823838;12536.2359;29601415.59;False
253;3841977;(2019 KW);26.87;0.011234532;0.025121177;31042.55754;41381758.34;False
253;3314405;(2006 BX139);20.09;0.255008688;0.570216761;11063.499;46537091.75;False
253;3547318;(2010 RH178);20.37;0.224158379;0.501233372;22041.88215;63695363.83;False
253;3662229;(2014 DR);21.20;0.152951935;0.342010925;91905.53332;49683854.72;False
253;54210931;(2021 UL);30.30;0.002315021;0.005176545;36238.47101;43251216.74;False
253;54276977;(2022 HH3);19.75;0.298232505;0.666868155;75588.0815;30495548.94;False
253;2152828;152828 (1999 VT25);21.28;0.147419515;0.329640056;45729.68419;52416785.71;True
253;2494975;494975 (2009 WO106);19.18;0.38775283;0.867041687;68306.59276;37907208.56;True
253;3136724;(2002 RS129);22.89;0.070235225;0.157050737;44707.03863;13699106.11;False
253;54104550;(2021 AP1);23.67;0.04904051;0.109657914;21906.34379;71397459.13;False
253;54422950;(2024 BC3);22.21;0.096062742;0.21480282;58608.42508;36747753.03;False
253;2381564;381564 (2008 UW5);18.25;0.595052079;1.330576898;21273.20086;21822011.14;False
253;2483432;483432 (2001 DF47);20.44;0.217047594;0.485333175;41135.35903;24697911.85;True
253;3150194;(2003 DZ15);22.41;0.087610262;0.1959025;38826.56693;19911587.27;False
253;3595776;(2012 AC11);21.94;0.108781483;0.243242792;39222.08013;42574593.52;False
253;3626687;(2013 CW87);25.80;0.018388867;0.041118757;11799.2341;11777844.06;False
253;3826667;(2018 PM9);23.00;0.066765941;0.149293183;33542.34105;71713739.74;False
253;3838186;(2019 CN2);28.40;0.005553349;0.012417666;21470.80392;14651213.75;False
253;54301963;(2022 RS2);23.35;0.056827032;0.127069107;23386.44899;25941229.55;False
253;2275792;275792 (2001 QH142);18.41;0.552783379;1.236061213;55376.36048;72553948.68;False
253;3465683;(2009 PY);21.12;0.158691979;0.354846053;70209.61258;46538004.05;False
253;3627115;(2013 DL1);21.23;0.150853356;0.337318359;69471.62391;66702340.74;False
253;3673982;(2014 MF18);26.11;0.015942447;0.035648395;20399.05445;31984291.73;False
253;3765915;(2016 XD1);19.20;0.384197891;0.859092601;26539.56193;56698857.71;False
253;3773050;(2017 FK102);20.63;0.198863453;0.4446722;66891.09724;47073303.69;False
253;3838846;(2019 DC1);23.00;0.066765941;0.149293183;108757.8262;63342180.57;False
253;3842637;(2019 KW3);21.86;0.11286388;0.252371308;14012.49673;45366131.3;False
253;2605911;605911 Cecily (2016 XD1);19.22;0.380675544;0.851216393;26539.43532;56699699.7;False
253;2424969;424969 (2009 BT5);20.64;0.197949759;0.442629117;39941.29516;38449936.56;False
253;2477490;477490 (2010 CG18);20.59;0.202560601;0.452939273;14816.47379;63101465.45;False
253;3401191;(2008 BP16);21.80;0.116025908;0.259441818;115260.6794;48890860.48;False
253;3989235;(2020 BF10);27.20;0.009650615;0.021579431;25832.7561;7587722.433;False
253;3991727;(2020 DA2);22.80;0.073207399;0.163696721;27475.42559;14244915.33;False
253;3125005;(2002 JQ9);19.24;0.377185489;0.843412394;42003.18768;68463438.16;True
253;3463161;(2009 LQ1);22.18;0.097399107;0.217791025;22265.46706;72618758.38;False
253;3740929;(2016 BW14);25.80;0.018388867;0.041118757;66418.50001;61218413.31;False
253;54167167;(2021 NO2);26.22;0.015154966;0.033887535;76805.48678;60973529.62;False
253;3568329;(2011 MW1);22.35;0.090064777;0.201390963;39750.65218;15123817.92;False
253;3621023;(2012 XO134);24.00;0.042126461;0.094197631;35555.88694;52709952.6;False
253;3656924;(2014 BQ8);21.41;0.138852907;0.310484539;54761.3522;28487552.25;False
253;3774433;(2017 JB);23.68;0.048815189;0.109154081;15901.20811;69658364.4;False
253;3968759;(2020 AB);26.00;0.016770846;0.037500752;64218.87207;57976190.42;False
253;3986832;(2020 BT2);23.67;0.04904051;0.109657914;89917.29028;67948758.98;False
253;2140039;140039 (2001 SO73);18.08;0.643509521;1.438931032;106453.0869;74787549.72;True
253;3616697;(2012 VN6);21.36;0.142087207;0.317716653;71327.58307;55774305.85;False
253;3628123;(2013 DA15);20.48;0.213086029;0.476474847;57914.6903;72145663.12;False
253;3678630;(2014 OL339);22.78;0.073884779;0.165211388;49824.94582;60373430.82;False
253;3739011;(2015 YU7);21.37;0.141434375;0.316256878;32927.82969;27991071.58;True
253;3989280;(2020 BQ12);24.50;0.033462237;0.074823838;36738.04914;14801669.01;False
253;54341445;(2023 BE10);21.83;0.114433973;0.255882143;40831.93289;12406761.22;False
253;2303262;303262 (2004 RJ84);18.66;0.492668706;1.101640716;40408.90771;32441604.95;False
253;3742342;(2016 CL136);21.36;0.142087207;0.317716653;92214.24618;35135887.95;True
253;3795140;(2017 YT7);18.78;0.466181437;1.042413384;88794.65588;73634924.12;False
253;2162385;162385 (2000 BM19);18.61;0.504144434;1.127301225;23897.04666;16991267.81;False
253;2480984;480984 (2003 YR70);20.15;0.248058993;0.554676771;42183.8908;45220607.55;False
253;3358223;(2006 VY2);22.75;0.074912618;0.167509707;36717.09732;59791257.98;False
253;3651205;(2013 UB);26.60;0.012721988;0.02844723;48283.76886;58546065.7;False
253;3699951;(2014 WO371);22.45;0.086011194;0.192326877;29685.66916;39032998.91;False
253;3766676;(2017 BO3);21.20;0.152951935;0.342010925;71138.14901;45483100.71;False
253;3989193;(2020 BO8);23.70;0.048367649;0.108153351;58151.89665;18964817.51;False
253;2020790;20790 (2000 SE45);16.64;1.248978541;2.792800919;24186.53119;41820960.08;False
253;2138404;138404 (2000 HA24);19.40;0.350392641;0.783501764;29531.28515;29691744.42;True
253;2481532;481532 (2007 LE);19.62;0.316632126;0.708010957;74321.58654;66912510.57;True
253;3605335;(2012 KF47);21.07;0.16238839;0.363111479;32806.2196;26282826.52;False
253;3838941;(2017 RE110);22.45;0.086011194;0.192326877;26113.32363;68835586.38;False
253;2436037;436037 (2009 NJ);18.69;0.485909038;1.086525639;77331.81716;15509242.32;False
253;3092227;(1999 LW1);20.52;0.209196771;0.4677782;60566.73573;31372150.35;False
253;3313739;(2006 BA9);22.70;0.076657557;0.171411509;95158.45596;72935875.75;False
253;3392365;(2007 VT6);20.53;0.208235599;0.465628955;48519.03558;39526569.02;True
253;3467355;(2009 SW17);19.88;0.280902094;0.628116177;42047.37149;28640271.78;True
253;3552653;(2010 WT8);22.02;0.104846751;0.234444462;19936.12013;40461851.78;False
253;3968761;(2019 YQ5);25.10;0.025383703;0.056759685;19229.7233;7201577.628;False
253;3986637;(2020 AE3);23.25;0.059505208;0.13305769;70185.32814;33549364.07;False
253;3840879;(2019 GL5);20.76;0.187307418;0.418832119;68571.69481;65961344.49;False
253;3986764;(2020 BM1);25.60;0.020162992;0.045085821;55454.09747;26993457.63;False
253;54099616;(2020 XM3);22.72;0.075954757;0.169839999;37794.82964;17379869.86;False
253;54106593;(2021 BZ2);23.80;0.046190746;0.103285648;27975.10996;34874139.1;False
253;54338714;(2023 AW);25.68;0.019433677;0.043455023;65872.45201;48883366.87;False
253;2509353;509353 (2007 AT2);19.71;0.303777061;0.679266159;28009.54423;71328184.86;False
253;3581238;(2011 TG2);20.32;0.229379698;0.512908597;62780.02301;52824957.38;False
253;3738934;(2015 YR1);19.13;0.396784754;0.887237683;88605.36361;61669919.13;False
253;3789479;(2017 WQ1);24.98;0.026825942;0.059984629;53778.96103;29435183.91;False
