COSPAR_number;NORAD_number;owner1;owner2;owner3
2019-089H;44859;Hera Systems;;
2023-001DC;55107;AAC Clyde Space;;
2017-036L;42775;Aalto University;;
2016-025E;41460;University of Aalborg;;
2014-006A;39508;Asia Broadcast Satellite Ltd.;;
2016-038A;41588;Asia Broadcast Satellite Ltd.;;
2015-010A;40424;Asia Broadcast Satellite Ltd.;;
2004-007A;28184;Asia Broadcast Satellite Ltd.;;
1999-053A;25924;Asia Broadcast Satellite Ltd.;;
2021-022F;47937;Asher Space Research Institute at Technion;Israeli Aircraft Industries;
2021-022H;47939;Asher Space Research Institute at Technion;Israeli Aircraft Industries;
2021-022M;47943;Asher Space Research Institute at Technion;Israeli Aircraft Industries;
2023-054K;56187;Austrian Space Forum (OEWF);Spire;
2020-095A;47237;National Reconnaissance Office (NRO);;
1998-029A;25336;National Reconnaissance Office (NRO);;
2003-041A;27937;National Reconnaissance Office (NRO);;
2009-001A;33490;National Reconnaissance Office (NRO);;
2010-063A;37232;National Reconnaissance Office (NRO);;
2012-034A;38528;National Reconnaissance Office (NRO);;
2016-036A;41584;National Reconnaissance Office (NRO);;
2013-050A;39256;US Air Force;;
2018-079A;43651;US Air Force;;
2019-051A;44481;US Air Force;;
2020-022B;45465;US Air Force ;;
2012-019A;38254;US Air Force;;
2012-048C;38760;Department of Homeland Security;;
2018-066A;43600;European Space Agency (ESA);;
2018-104N;43861;Aerospace Corporation;;
2018-104A;43849;Aerospace Corporation;;
2018-046C;43556;Aerospace Corporation;;
2018-046D;43557;Aerospace Corporation;;
2019-071D;45114;Aerospace Corporation;;
2019-071F;45116;Aerospace Corporation;;
2019-071G;45117;Aerospace Corporation;;
2015-058B;40965;Aerospace Corporation;;
2014-033AM;40045;Aerospace Corporation;;
2014-033AN;40046;Aerospace Corporation;;
2015-058C;40966;Aerospace Corporation;;
2016-067F;41853;Aerospace Corporation;;
2016-067E;41852;Aerospace Corporation;;
2008-065B;33460;EUTELSAT S.A.;;
2021-034C;48270;Aurora Insight;;
2021-006AD;47440;Aurora Insight;;
2007-015A;31304;Center for Atmospheric Sciences, Hampton University;NASA;
2010-035C;36797;Norwegian Coastal Admnistration;;
2014-037G;40075;Norwegian Coastal Admnistration;;
2018-099L;43768;AISTech;;
2019-018AB;44103;AISTech;;
2018-012A;43174;Al Yah Satellite Communications Co. (YAHSAT);;
2018-099AZ;43805;Al-Farabi Kazakh National University;;
2017-078A;43039;Algerian Space Agency (ASAL);;
2019-084A;44824;Astro Live Experiences;;
2022-033D;52160;University of Brasilia;;
2013-072F;39467;US Air Force Institute of Technology;;
2016-059C;41785;Algerian Space Agency (ASAL);;
2016-059G;41789;Algerian Space Agency (ASAL);UK Space Agency;
2010-035D;36798;Algerian Space Agency (ASAL);;
2016-059D;41786;Algerian Space Agency (ASAL);;
2009-054A;35942;Hispamar (subsidiary of Hispasat - Spain);;
2013-006A;39078;Hispamar (subsidiary of Hispasat - Spain);;
2014-011A;39616;Hispamar (subsidiary of Hispasat - Spain);;
2017-053A;42934;Hispamar (subsidiary of Hispasat - Spain);;
2023-017A;55508;Hispamar (subsidiary of Hispasat - Spain);;
2021-015A;47699;National Institute for Space Research (INPE);;
2004-017A;28252;SES S.A.;;
2004-041A;28446;SES S.A.;;
2006-054B;29644;SES S.A.;;
2008-038B;33275;SES S.A.;;
2000-067A;26580;SES S.A.;;
2019-038J;44394;Moscow State University;;
2019-050A;44479;Space-Communication Ltd.;;
2008-022A;32794;Space-Communication Ltd.;;
2013-045A;39237;Space-Communication Ltd.;;
1974-089B;7530;AMSAT-NA;;
2020-048A;45920;Agency for Defense Development;;
2020-037D;45726;ANDESITE - Boston University;;
2019-092D;44876;Centre National d'Etudes Spatiales (CNES);;
2022-131A;54033;AngoSat;;
2000-076A;26624;Telesat Canada Ltd. (BCE, Inc.);;
2005-036A;28868;Telesat Canada Ltd. (BCE, Inc.);;
2004-027A;28378;Telesat Canada Ltd. (BCE, Inc.);;
2007-009A;31102;Telesat Canada Ltd. (BCE, Inc.);;
