officialName;COSPAR_number;NORAD_number;id_t;detailedPurpose;orbitSat;typeOrbitSat;longitudeGEO;perihelionSat;aphelionSat;eccentricitySat;inclinationSat;periodSat;drymass;power;expectedLifetime;launchSite;launchVehicle
1HOPSAT-TD;2019-089H;44859;253;Infrared Imaging;LEO;Non-Polar Inclined;0;566;576;0,00151;36,9;96,08;;;0,5;Satish Dhawan Space Centre;PSLV
AAC AIS-Sat1 (Kelpie 1);2023-001DC;55107;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;637;654;1,51E-03;98;95;" 	4 ";;;Cape Canaveral;Falcon 9
Aalto-1;2017-036L;42775;253;;LEO;Sun-Synchronous;0;497;517;1,45E-03;97,45;94,7;;4,5;2;Satish Dhawan Space Centre;PSLV
AAt-4;2016-025E;41460;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;442;687;1,51E-03;98,2;95,9;;;;Guiana Space Center;Soyuz-2.1a
ABS-2;2014-006A;39508;253;;GEO;;75;35.778;35.793;1,78E-04;0,08;1436,03;;16000;15;Guiana Space Center;Ariane 5 ECA
ABS-2A;2016-038A;41588;253;;GEO;;-75;35.700;35.700;0,00E+00;0;1436,1;;;15;Cape Canaveral;Falcon 9
ABS-3A;2015-010A;40424;253;;GEO;;-3;35.788;35.803;1,78E-04;0,1;1436;;;15;Cape Canaveral;Falcon 9
ABS-4;2004-007A;28184;253;;GEO;;75;35.780;35.793;1,54E-04;0,01;1436,1;" 	1.700 ";7400;12;Cape Canaveral;Atlas 3
ABS-6;1999-053A;25924;253;;GEO;;159;35.777;35.794;2,02E-04;0,01;1436,08;" 	1.730 ";6800;15;Baikonur Cosmodrome;Proton
Adelis-Sampson 1;2021-022F;47937;253;;LEO;Sun-Synchronous;0;538;561;1,66E-03;97,5;95,5;;;;Baikonur Cosmodrome;Soyuz-2.1a
Adelis-Sampson 2;2021-022H;47939;253;;LEO;Sun-Synchronous;0;539;599;4,32E-03;97,5;95,5;;;;Baikonur Cosmodrome;Soyuz-2.1a
Adelis-Sampson 3;2021-022M;47943;253;;LEO;Sun-Synchronous;0;537;561;1,73E-03;97,5;95,5;;;;Baikonur Cosmodrome;Soyuz-2.1a
ADLER-2;2023-054K;56187;253;;LEO;Sun-Synchronous;0;497;506;6,55E-04;97,4;95;" 	12 ";;;Vandenberg AFB;Falcon 9
USA 311;2020-095A;47237;253;Electronic Intelligence;GEO;;0;35.700;35.800;1,19E-03;0;1437,6;;;;Cape Canaveral;Delta 4 Heavy
USA 139;1998-029A;25336;253;Electronic Intelligence;GEO;;-26;35.560;36.013;5,37E-03;7,72;1436,14;;;;Cape Canaveral;Titan IVA
USA 171;2003-041A;27937;253;Electronic Intelligence;GEO;;68;35.589;35.984;4,68E-03;3,2;1436,1;;;;Cape Canaveral;Titan IV
USA 202;2009-001A;33490;253;Electronic Intelligence;GEO;;44;35.714;35.937;2,64E-03;2,89;1438,8;;;;Cape Canaveral;Delta 4 Heavy
USA 223;2010-063A;37232;253;Electronic Intelligence;GEO;;95;35.500;35.500;0,00E+00;0;1436;;;;Cape Canaveral;Delta 4 Heavy
USA 237;2012-034A;38528;253;Electronic Intelligence;GEO;;60;35.771;35.805;4,03E-04;0;1436,1;;;;Cape Canaveral;Delta 4 Heavy
USA 268;2016-036A;41584;253;Electronic Intelligence;GEO;;102,6;35.613;35.903;3,44E-03;7,51;1437,19;;;;Cape Canaveral;Delta 4 Heavy
USA 246;2013-050A;39256;253;;GEO;;152,1;35.700;35.803;1,22E-03;4,2;1436,1;;;14;Cape Canaveral;Atlas 5
USA 288;2018-079A;43651;253;;GEO;;150,2;35.781;35.790;1,07E-04;0,05;1436,1;;;;Cape Canaveral;Atlas 5
USA 292;2019-051A;44481;253;;GEO;;-94,39;35.780;35.810;3,56E-04;6,4;1436,2;;;;Cape Canaveral;Atlas 5
USA 298;2020-022B;45465;253;;GEO;;0;35.780;35.780;0,00E+00;0;1436;;;;Cape Canaveral;Atlas 5
USA 235;2012-019A;38254;253;;GEO;;-120;35.772;35.801;3,44E-04;2,34;1436,1;;;14;Cape Canaveral;Atlas 5
Aeneas;2012-048C;38760;253;;LEO;Equatorial;0;480;790;2,21E-02;0,02;97,4;;;;Vandenberg AFB;Atlas 5
Aeolus;2018-066A;43600;253;Earth Science;LEO;;0;314;317;2,24E-04;96,7;92,4;;;3;Guiana Space Center;Vega
Aerocube 11A;2018-104N;43861;253;;LEO;Polar;0;495;511;1,16E-03;85,03;94,6;;;;Rocket Lab Launch Complex 1;Electron
Aerocube 11B;2018-104A;43849;253;;LEO;Polar;0;492;511;1,38E-03;85,3;94,6;;;;Rocket Lab Launch Complex 1;Electron
Aerocube 12A;2018-046C;43556;253;;LEO;Non-Polar Inclined;0;481;487;4,38E-04;51,6;94,2;;;;Cygnus;Nanorack Deployer
Aerocube 12B;2018-046D;43557;253;;LEO;Non-Polar Inclined;0;481;487;4,38E-04;51,6;94,2;;;;Cygnus;Nanorack Deployer
Aerocube 14A;2019-071D;45114;253;;LEO;Non-Polar Inclined;0;459;474;1,10E-03;51,6;93,9;;;;Cygnus;Nanorack Deployer
Aerocube 14B;2019-071F;45116;253;;LEO;Non-Polar Inclined;0;459;474;1,10E-03;51,6;93,9;;;;Cygnus;Nanorack Deployer
Aerocube 15A;2019-071G;45117;253;;LEO;Non-Polar Inclined;0;458;474;1,17E-03;51,6;93,9;;;;Cygnus;Nanorack Deployer
Aerocube 5C;2015-058B;40965;253;;LEO;Non-Polar Inclined;0;500;802;2,15E-02;64,78;97,74;;;;Vandenberg AFB;Atlas 5
Aerocube 6A;2014-033AM;40045;253;;LEO;Sun-Synchronous;0;614;700;6,12E-03;97,98;97,88;;;3;Dombarovsky Air Base;Dnepr
Aerocube 6B;2014-033AN;40046;253;;LEO;Sun-Synchronous;0;614;700;6,12E-03;97,98;97,88;;;3;Dombarovsky Air Base;Dnepr
Aerocube 7A;2015-058C;40966;253;;LEO;Non-Polar Inclined;0;500;802;2,15E-02;64,6;97,4;;;;Vandenberg AFB;Atlas 5
Aerocube 8C;2016-067F;41853;253;;LEO;Sun-Synchronous;0;569;584;1,08E-03;97,9;96,2;;;;Vandenberg AFB;Atlas 5
Aerocube 8D;2016-067E;41852;253;;LEO;Sun-Synchronous;0;572;584;8,64E-04;98;96,23;;;;Vandenberg AFB;Atlas 5
Eutelsat 48D;2008-065B;33460;253;;GEO;;48;35.764;35.808;5,22E-04;0,12;1436,08;" 	1.555 ";7000;15;Guiana Space Center;Ariane 5
AII-Bravo;2021-034C;48270;253;;LEO;Sun-Synchronous;0;609;613;2,86E-04;97,8;95,8;;;;Guiana Space Center;Vega W18
AII-Charlie;2021-006AD;47440;253;;LEO;Sun-Synchronous;0;522;535;9,42E-04;97,5;95,2;;;;Cape Canaveral;Falcon 9
AIM;2007-015A;31304;253;Earth Science;LEO;Sun-Synchronous;0;544;552;5,78E-04;97,9;96,2;" 	197 ";216;2;Vandenberg AFB;Pegasus XL
AISSat-1;2010-035C;36797;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;615;632;1,22E-03;98;97,2;;;3;Satish Dhawan Space Centre;PSLV
AISSat-2;2014-037G;40075;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;625;631;4,29E-04;98,4;97,27;;;3;Baikonur Cosmodrome;Soyuz-2.1b
AISTechSat-2;2018-099L;43768;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;574;592;1,29E-03;97,8;96,4;;;;Vandenberg AFB;Falcon 9
AISTechSat-3;2019-018AB;44103;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;490;506;1,16E-03;97,5;94,6;;;;Satish Dhawan Space Centre;PSLV
Al Yah-3;2018-012A;43174;253;;GEO;;-20;35.777;35.796;2,25E-04;0;1436;;;15;Guiana Space Center;Ariane 5
Al-Farabi-2;2018-099AZ;43805;253;;LEO;Sun-Synchronous;0;573;589;1,15E-03;97,7;96,2;;;;Vandenberg AFB;Falcon 9
Alcomsat;2017-078A;43039;253;;GEO;;-24,8;35.744;35.798;6,41E-04;0,04;1436,1;;;15;Xichang Satellite Launch Center;Long March 3B
ALE-2;2019-084A;44824;253;;LEO;Sun-Synchronous;0;397;414;1,25E-03;97,01;92,06;;;;Rocket Lab Launch Complex 1;Electron
Alfa Crux;2022-033D;52160;253;;LEO;Sun-Synchronous;0;499;511;5,11E+02;97,4;95;;;;Cape Canaveral;Falcon 9
ALiCE;2013-072F;39467;253;;LEO;Polar;0;443;886;3,15E-02;120,3;98;;;;Vandenberg AFB;Atlas 5
Alsat-1B;2016-059C;41785;253;Optical Imaging;LEO;Sun-Synchronous;0;661;704;3,05E-03;98,2;98,4;;;5;Satish Dhawan Space Centre;PSLV
AlSat-1N;2016-059G;41789;253;;LEO;Sun-Synchronous;0;661;698;2,62E-03;98,2;98,3;;;;Satish Dhawan Space Centre;PSLV
Alsat-2A;2010-035D;36798;253;Optical Imaging;LEO;Sun-Synchronous;0;672;674;1,42E-04;98,1;98,2;;;5;Satish Dhawan Space Centre;PSLV
Alsat-2B;2016-059D;41786;253;Optical Imaging;LEO;Sun-Synchronous;0;646;660;9,97E-04;98,2;97,7;;;5;Satish Dhawan Space Centre;PSLV
Amazonas-2;2009-054A;35942;253;Optical Imaging;GEO;;-61;35.767;35.805;4,51E-04;0,03;1436,08;;15300;15;Guiana Space Center;Ariane 5
Amazonas-3;2013-006A;39078;253;;GEO;;-61;35.781;35.791;1,19E-04;0,03;1436,05;" 	2.778 ";14000;15;Guiana Space Center;Ariane 5 ECA
Amazonas-4A;2014-011A;39616;253;;GEO;;-61;35.784;35.795;1,30E-04;0,08;1436,24;;;15;Guiana Space Center;Ariane 5 ECA
Amazonas-5;2017-053A;42934;253;;GEO;;-61;35.785;35.789;4,74E-05;0,04;1436,11;;;15;Baikonur Cosmodrome;Proton
Amazonas-Nexus;2023-017A;55508;253;;GEO;;-60,97;35.777;35.797;2,37E-04;0,02;1436,15;" 	4.000 ";;;Cape Canaveral;Falcon 9
Amazonia-1;2021-015A;47699;253;Optical Imaging;LEO;Sun-Synchronous;0;761;764;2,10E-04;98,5;99,9;;;4;Satish Dhawan Space Centre;PSLV
AMC-11;2004-017A;28252;253;;GEO;;-130,93;35.774;35.797;2,73E-04;0,04;1436,07;" 	2.316 ";6500;15;Cape Canaveral;Atlas 2AS
AMC-15;2004-041A;28446;253;;GEO;;-105,04;35.777;35.795;2,13E-04;0,04;1436,08;;;15;Baikonur Cosmodrome;Proton M
AMC-18;2006-054B;29644;253;;GEO;;-104,97;35.773;35.800;3,20E-04;0,06;1436,1;" 	918 ";;15;Guiana Space Center;Ariane 5
AMC-21;2008-038B;33275;253;;GEO;;-124,86;35.778;35.793;1,78E-04;3;1436,1;;5000;15;Guiana Space Center;Ariane 5 ECA
AMC-6;2000-067A;26580;253;;GEO;;-71,98;35.778;35.795;2,02E-04;0,05;1436,12;" 	2.500 ";;15;Baikonur Cosmodrome;Proton K
AmGU-1;2019-038J;44394;253;;LEO;Sun-Synchronous;0;514;547;2,39E-03;97,5;95,2;;;;Vostochny Cosmodrome;Soyuz-2.1b
Amos 17;2019-050A;44479;253;;GEO;;17;35.777;35.793;1,90E-04;0;1436,04;;;20;Cape Canaveral;Falcon 9
Amos 3;2008-022A;32794;253;;GEO;;-3,99;35.783;35.789;7,12E-05;0,04;1436,1;;;12;Baikonur Cosmodrome;Zenit 3SLB
Amos 4;2013-045A;39237;253;;GEO;;65;35.633;35.796;1,94E-03;0,01;1432;;;12;Baikonur Cosmodrome;Zenit 2SB
Amsat-Oscar 7;1974-089B;7530;253;;LEO;Polar;0;1.440;1.459;1,21E-03;101,4;114,9;;;;Vandenberg AFB;Delta 2310
ANASIS-II;2020-048A;45920;253;;GEO;;115,9;35.781;35.792;1,30E-04;0,01;1436,1;;;15;Cape Canaveral;Falcon 9
ANDESITE Mule;2020-037D;45726;253;;LEO;Sun-Synchronous;0;582;600;1,29E-03;97,7;96,5;;;;Rocket Lab Launch Complex 1;Electron
ANGELS;2019-092D;44876;253;;LEO;Sun-Synchronous;0;509;524;1,09E-03;97,4;94,9;;;;Guiana Space Center;Soyuz
Angosat-2;2022-131A;54033;253;;LEO;;23;35.782;35.791;1,07E-04;0,02;;;;;Baikonur Cosmodrome;Proton
Anik F1;2000-076A;26624;253;;GEO;;-107,27;35.778;35.793;1,78E-04;0,02;1436,08;" 	2.950 ";15500;15;Guiana Space Center;Ariane 44L
Anik F1R;2005-036A;28868;253;;GEO;;-107,3;35.777;35.795;2,13E-04;0,02;1436,1;;10000;15;Baikonur Cosmodrome;Proton M
Anik F2;2004-027A;28378;253;;GEO;;-111,07;35.781;35.790;1,07E-04;0,01;1436,08;" 	3.805 ";16000;15;Guiana Space Center;Ariane 5
Anik F3;2007-009A;31102;253;;GEO;;-118,69;35.778;35.794;1,90E-04;0,01;1436,1;;17500;15;Baikonur Cosmodrome;Proton M
Anik G1;2013-014A;39127;253;;GEO;;-107,3;35.773;35.799;3,08E-04;0,01;1436,08;;17500;15;Baikonur Cosmodrome;Proton M
AprizeSat 1;2004-025G;28372;253;;LEO;Sun-Synchronous;0;696;764;4,79E-03;98;99,4;" 	12 ";;;Baikonur Cosmodrome;Dnepr
AprizeSat 10;2014-033K;40019;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;613;733;8,52E-03;97,9;98;" 	12 ";;;Dombarovsky Air Base;Dnepr
AprizeSat 2;2004-025A;28366;253;;LEO;Sun-Synchronous;0;694;850;1,09E-02;98,2;100,3;" 	12 ";;;Baikonur Cosmodrome;Dnepr
AprizeSat 3;2009-041F;35686;253;Automatic Identification System (AIS);LEO;Sun-Synchronous;0;559;662;7,38E-03;98,18;97;" 	12 ";;;Baikonur Cosmodrome;Dnepr
